Fe(acac)3 -- vibronic analysis
TPSSh / def2-TZVP(Fe,O) def2-SVP(C,H) / SMD(water) / TDA, ORCA 6
Ground state: 123 real modes, 0 imaginary


====================================================================================================
ROOT 15   E = 2.918 eV = 424.8 nm
====================================================================================================

A. FRANCK-CONDON ACTIVITY  (excited-state gradient projected on ground-state modes)
   total reorganisation energy = 2543.7 cm-1 = 0.3154 eV
   gradient unaccounted for by the vibrations = 0.155 %

 mode  freq/cm-1        grad/au        displ          S_k  lambda/cm-1    RR(rel)
   ES/cm-1    <-GS/cm-1      shift    overlap  participation    GSidx
    206.03       258.18     -52.15     0.3550           3.88       33
    228.60       242.16     -13.56     0.4478           3.36       31
    246.50       258.18     -11.68     0.3642           4.01       33
    249.61       241.42       8.19     0.4388           3.76       30
    261.53       246.88      14.65     0.3161           4.18       32
    282.53       241.42      41.11     0.2385           7.39       30
    312.14       277.60      34.53     0.6074           2.37       35
    343.70       274.45      69.26     0.6172           2.40       34
    381.38       400.30     -18.91     0.8166           1.49       36
    393.75       406.08     -12.33     0.9404           1.13       38
    399.48       402.43      -2.95     0.8008           1.54       37
    455.37       435.03      20.34     0.6678           2.09       41
    491.04       531.25     -40.21     0.3698           5.06       42
    497.60       532.31     -34.71     0.4755           3.08       43
    504.81       540.78     -35.97     0.3872           4.36       44
    534.57       563.90     -29.33     0.3482           5.39       46
    550.25       563.90     -13.65     0.3752           3.51       46
    560.22       562.81      -2.59     0.3403           5.65       45
    590.11       563.97      26.14     0.2435           7.35       47
    607.75       666.77     -59.02     0.2273           7.43       52
    633.98       656.48     -22.50     0.5572           2.75       49
    650.29       667.32     -17.03     0.5512           3.02       53
    659.16       664.88      -5.73     0.3502           4.13       51
    673.13       664.88       8.25     0.3977           4.13       51
    709.69       666.77      42.92     0.3500           5.97       52
    774.96       661.09     113.86     0.2319          10.11       50
    813.66       811.22       2.44     0.4774           3.08       55
    821.97       811.22      10.75     0.4666           2.57       55
    836.81       812.45      24.36     0.4759           3.34       56
    904.79       948.07     -43.28     0.5171           3.31       57
    939.24       951.46     -12.22     0.3298           4.92       62
    940.37       950.09      -9.72     0.4035           3.28       60
    944.80       951.46      -6.66     0.3632           3.94       62
    953.05       950.32       2.73     0.6638           2.12       61
    961.07       949.43      11.64     0.5461           2.91       59
   1005.59      1040.12     -34.53     0.2071           8.20       73
   1015.64      1026.29     -10.65     0.5309           2.53       64
   1016.65      1026.71     -10.06     0.6103           2.52       66
   1018.75      1028.03      -9.28     0.3886           4.62       68
   1022.16      1026.34      -4.18     0.4213           3.48       65
   1026.46      1026.06       0.40     0.3293           4.80       63
   1028.09      1039.98     -11.89     0.8059           1.53       72
   1033.43      1040.12      -6.69     0.4083           4.24       73
   1046.81      1035.87      10.94     0.7794           1.64       71
   1098.94      1031.41      67.53     0.2788           7.53       70
   1163.51      1193.64     -30.14     0.5752           2.80       75
   1178.02      1195.97     -17.95     0.3797           4.86       77
   1196.31      1194.28       2.03     0.6307           2.15       76
   1220.38      1289.25     -68.87     0.1827          12.44       78
   1237.76      1289.25     -51.49     0.3662           5.48       78
   1273.87      1290.46     -16.59     0.6629           2.24       79
   1291.73      1295.48      -3.75     0.5894           2.75       80
   1302.69      1346.36     -43.67     0.3137           7.19       81
   1335.89      1370.63     -34.74     0.3709           4.73       86
   1338.42      1348.40      -9.98     0.3248           6.14       83
   1364.42      1373.66      -9.24     0.3810           3.85       88
   1368.56      1370.27      -1.71     0.5515           2.87       85
